"substrate","tube","id","bg","ppo","ppo.ho","bg.ho"
"a",1,"a1",329,8464,0.034,0.020
"a",2,"a2",-7,247,0.033,0.025
"a",3,"a3",1,6093,0.035,0.023
"a",5,"a5",1,335,0.009,0.039
"a",6,"a6",1,1233,0.025,0.020
"a",9,"a9",242,2341,0.055,0.020
"a",10,"a10",20,40,0.029,-0.006
"a",11,"a11",19,202,0.011,0.031
"a",12,"a12",13,135,0.014,0.044
"a",13,"a13",15,994,0.016,0.175
"a",14,"a14",194,453,0.010,0.027
"a",15,"a15",22,91,0.013,0.034
"a",16,"a16",74,2,0.009,0.049
"a",17,"a17",51,1766,0.012,0.028
"a",18,"a18",37,25,0.016,0.060
"a",19,"a19",0,941,0.010,0.028
"a",20,"a20",-5,20,0.016,0.030
"a",21,"a21",8,60,0.022,0.033
"a",22,"a22",31,513,0.012,0.024
"a",23,"a23",19,57,0.021,0.017
"a",24,"a24",10,1248,0.015,0.022
"a",25,"a25",322,159,0.049,0.030
"a",26,"a26",20,4677,0.027,0.049
"a",27,"a27",0,306,0.002,0.021
"a",29,"a29",-1,0,0.033,0.020
"a",30,"a30",2,318,0.030,0.014
"a",34,"a34",32,2770,0.019,0.208
"a",35,"a35",-1,4510,0.028,0.044
"a",36,"a36",19,1890,0.021,0.050
"a",37,"a37",23,16,0.013,0.042
"a",38,"a38",162,1259,0.024,0.110
"a",39,"a39",3,470,0.014,0.026
"a",40,"a40",19,-36,0.011,0.037
"a",41,"a41",40,1555,0.011,0.039
"a",42,"a42",14,426,0.013,0.039
"a",43,"a43",9,837,0.020,0.037
"a",44,"a44",13,1370,0.022,0.026
"a",45,"a45",139,1755,0.014,0.031
"a",46,"a46",4,720,0.023,0.013
"a",47,"a47",10,284,0.012,0.010
"a",48,"a48",57,485,0.012,0.045
"a",49,"a49",-6,161,0.028,0.035
"a",50,"a50",-1,7447,0.001,0.047
"a",51,"a51",720,1545,0.044,0.086
"a",52,"a52",2,291,0.029,0.041
