spdiversity,fndiv,Substrate,vial,tube,time,dC_dt
1,1,Aspen,1,1,2.59,10.98
1,1,Aspen,9,2,2.60,21.74
1,1,Aspen,17,3,2.60,1.71
1,1,Aspen,25,4,2.61,1.44
1,1,Aspen,33,5,2.61,1.72
1,1,Aspen,41,6,2.61,29.70
1,1,Aspen,49,7,2.62,1.71
1,1,Aspen,57,8,2.62,2.71
1,1,Aspen,65,9,2.62,4.17
1,1,Aspen,73,10,2.63,1.53
1,1,Aspen,81,11,2.63,0.99
1,1,Aspen,89,12,2.63,1.12
1,1,Aspen,97,13,2.64,1.26
1,1,Aspen,105,14,2.64,1.30
1,1,Aspen,113,15,2.64,2.33
1,1,Aspen,121,16,2.65,2.54
1,1,Aspen,129,17,2.65,2.87
1,1,Aspen,137,18,2.66,9.07
1,1,Aspen,145,19,2.66,1.94
1,1,Aspen,153,20,2.67,2.33
1,1,Aspen,161,21,2.67,8.43
1,1,Aspen,169,22,2.67,12.50
1,1,Aspen,177,23,2.68,1.61
1,1,Aspen,185,24,2.68,1.59
1,1,Aspen,2,25,2.66,22.52
1,1,Aspen,10,26,2.67,0.35
1,1,Aspen,18,27,2.68,0.83
1,1,Aspen,26,28,2.69,1.32
1,1,Aspen,34,29,2.70,1.29
1,1,Aspen,42,30,2.71,2.67
1,1,Aspen,50,31,2.74,1.32
1,1,Aspen,58,32,2.75,1.14
2,1,Aspen,66,33,2.76,58.97
2,1,Aspen,74,34,2.76,31.36
2,1,Aspen,82,35,2.77,37.67
2,1,Aspen,90,36,2.78,1.37
2,1,Aspen,98,37,2.82,1.04
2,1,Aspen,106,38,2.83,2.26
2,1,Aspen,114,39,2.84,6.27
2,1,Aspen,122,40,2.85,1.11
2,1,Aspen,130,41,2.86,38.86
2,1,Aspen,138,42,2.87,15.38
2,1,Aspen,146,43,2.88,5.75
2,1,Aspen,154,44,2.89,1.38
2,1,Aspen,162,45,2.90,3.25
2,1,Aspen,170,46,2.91,15.72
2,1,Aspen,178,47,2.92,8.37
2,1,Aspen,186,48,2.93,1.17
2,1,Aspen,3,49,2.67,1.57
2,1,Aspen,11,50,2.67,0.66
2,1,Aspen,19,51,2.68,0.89
2,1,Aspen,27,52,2.69,1.28
2,1,Aspen,35,53,2.70,0.45
2,1,Aspen,43,54,2.71,1.51
2,1,Aspen,51,55,2.74,0.74
2,1,Aspen,59,56,2.75,1.24
4,1,Aspen,67,57,2.76,44.00
4,1,Aspen,75,58,2.77,1.26
4,1,Aspen,83,59,2.78,2.74
4,1,Aspen,91,60,2.81,0.78
4,1,Aspen,99,61,2.82,4.99
4,1,Aspen,107,62,2.83,25.82
4,1,Aspen,115,63,2.84,7.39
4,1,Aspen,123,64,2.85,1.64
2,2,Aspen,131,65,2.86,42.70
2,2,Aspen,139,66,2.87,12.52
2,2,Aspen,147,67,2.88,1.86
2,2,Aspen,155,68,2.89,1.51
2,2,Aspen,163,69,2.90,36.26
