id,vial,tube,microcosm.tray,iso.let
a1,1,1,A1,A
a9,9,2,A1,B
a17,17,3,A1,C
a25,25,4,A2,D
a33,33,5,A2,E
a41,41,6,A2,F
a49,49,7,A3,G
a57,57,8,A3,H
a65,65,9,A3,I
a73,73,10,A4,J
a81,81,11,A4,K
a89,89,12,A4,L
a97,97,13,A5,M
a105,105,14,A5,N
a113,113,15,A5,O
a121,121,16,A6,P
a129,129,17,A6,A
a137,137,18,A6,B
a145,145,19,A7,C
a153,153,20,A7,D
a161,161,21,A7,E
a169,169,22,A8,F
a177,177,23,A8,G
a185,185,24,A8,H
a2,2,25,A1,I
a10,10,26,A1,J
a18,18,27,A1,K
a26,26,28,A2,L
a34,34,29,A2,M
a42,42,30,A2,N
a50,50,31,A3,O
a58,58,32,A3,P
a66,66,33,A3,AB
a74,74,34,A4,AC
a82,82,35,A4,AD
a90,90,36,A4,BC
a98,98,37,A5,BD
a106,106,38,A5,CD
a114,114,39,A5,EF
a122,122,40,A6,EG
a130,130,41,A6,EH
a138,138,42,A6,FG
a146,146,43,A7,FH
a154,154,44,A7,GH
a162,162,45,A7,IJ
a170,170,46,A8,IK
a178,178,47,A8,IL
a186,186,48,A8,JK
a3,3,49,A1,JL
a11,11,50,A1,KL
a19,19,51,A1,MN
a27,27,52,A2,MO
a35,35,53,A2,MP
a43,43,54,A2,NO
a51,51,55,A3,NP
a59,59,56,A3,OP
a67,67,57,A3,ABCD
a75,75,58,A4,EFGH
a83,83,59,A4,IJKL
a91,91,60,A4,MNOP
a99,99,61,A5,ABCD
a107,107,62,A5,EFGH
a115,115,63,A5,IJKL
a123,123,64,A6,MNOP
a131,131,65,A6,AE
a139,139,66,A6,BF
a147,147,67,A7,CG
a155,155,68,A7,DH
a163,163,69,A7,AI
a171,171,70,A8,BJ
a179,179,71,A8,CK
a187,187,72,A8,DL
a4,4,73,A1,AO
a12,12,74,A1,BP
a20,20,75,A1,CN
a28,28,76,A2,DM
a36,36,77,A2,EJ
a44,44,78,A2,FL
a52,52,79,A3,GK
a60,60,80,A3,HI
a68,68,81,A3,EO
a76,76,82,A4,FM
a84,84,83,A4,GP
a92,92,84,A4,HN
a100,100,85,A5,IP
a108,108,86,A5,JM
a116,116,87,A5,KO
a124,124,88,A6,LN
a132,132,89,A6,ABEH
a140,140,90,A6,ACFG
a148,148,91,A7,ADFH
a156,156,92,A7,BCEF
a164,164,93,A7,BDEG
a172,172,94,A8,CDGH
a180,180,95,A8,ABIJ
a188,188,96,A8,ACIK
a5,5,97,A1,ADIL
a13,13,98,A1,BCJK
a21,21,99,A1,BDJL
a29,29,100,A2,CDKL
a37,37,101,A2,ABMP
a45,45,102,A2,ACMO
a53,53,103,A3,ADMO
a61,61,104,A3,BCMN
a69,69,105,A3,BDOP
a77,77,106,A4,CDNP
a85,85,107,A4,EFJK
a93,93,108,A4,EGJL
a101,101,109,A5,EHKL
a109,109,110,A5,FGIJ
a117,117,111,A5,FHIK
a125,125,112,A6,GHIL
a133,133,113,A6,EFOP
a141,141,114,A6,EGNP
a149,149,115,A7,EHNO
a157,157,116,A7,FGMN
a165,165,117,A7,FHMO
a173,173,118,A8,GHMP
a181,181,119,A8,IJNP
a189,189,120,A8,IKOP
a6,6,121,A1,ILMP
a14,14,122,A1,JKNO
a22,22,123,A1,JLMO
a30,30,124,A2,KLNP
a38,38,125,A2,ABCDEFGH
a46,46,126,A2,ABCDIJKL
